scenario,schedule,endpoint,n_trials,pass_rate,GMR_mean,GMR_sd,logGMR_sd,width_mean_pp,width_p95_pp,n_R_mean,n_T_mean
F090,B0,Cmax,500,54.8,0.879331073957509,0.0468194188730727,0.053040827669409,15.2626799229541,17.6856710363199,116.998,117
F090,B0,AUClast,500,18.2,0.837479492027157,0.0515427155731527,0.0614938377433608,17.0387629927462,19.8515108109861,116.998,117
F090,B0,AUCinf_all,500,25.2,0.848483913051059,0.0498191278479285,0.0585964747221856,16.1456567420576,18.2666980598934,114.522,113.298
F090,B0,AUCinf_reliable,500,26,0.853560662861477,0.0523874353442472,0.0611218709090703,16.9760247828046,19.3874737706394,99.484,96.246
F090,B0,AUCinf_true,500,20.6,0.840168207224829,0.0497131179089086,0.059116992779514,16.263027919102,18.7356547858178,117,117
F090,D2,Cmax,500,54.8,0.879324168702991,0.0468176282800909,0.053038720433034,15.2625722313539,17.6856710363199,116.998,117
F090,D2,AUClast,500,17.2,0.837126596643232,0.0516584106239935,0.0616538896878625,17.0774515578265,19.9250432226067,116.998,117
F090,D2,AUCinf_all,500,25.2,0.849074937104579,0.0494603930073412,0.0581578560445072,16.0643344496748,18.2063484209032,114.656,113.418
F090,D2,AUCinf_reliable,500,27.8,0.853605119858518,0.0524838032700494,0.0612709734750134,16.7925760800199,19.2155074885146,100.486,97.084
F090,D2,AUCinf_true,500,20.6,0.840168207224829,0.0497131179089086,0.059116992779514,16.263027919102,18.7356547858178,117,117
KE110,B0,Cmax,500,97.6,0.979573046194618,0.0514460877981487,0.0523172733407763,16.787159384861,19.3124914934212,116.998,117
KE110,B0,AUClast,500,84.4,0.948994397557479,0.0574722650115987,0.060470888856781,19.0255331790416,21.9508861087348,116.998,117
KE110,B0,AUCinf_all,500,88.4,0.948621296451654,0.0551659171108269,0.0580955819025122,17.9533541998433,20.2827927208164,114.522,114.356
KE110,B0,AUCinf_reliable,500,87.8,0.949637178718407,0.0579753322749715,0.0609228521454282,18.7238402430247,21.3296339450089,99.484,99.366
KE110,B0,AUCinf_true,500,88.4,0.949322869117942,0.0554053715437989,0.0582837135277257,18.1319381877652,20.9119609222799,117,117
KE110,D2,Cmax,500,97.6,0.979565624833892,0.0514442465682715,0.0523153286353539,16.787039987295,19.3124914934212,116.998,117
KE110,D2,AUClast,500,84.2,0.948712802983436,0.0576111911651388,0.0606342959297984,19.0706044072189,22.030745664089,116.998,117
KE110,D2,AUCinf_all,500,88.6,0.949094536598669,0.054886085480562,0.057806364746396,17.8747794369163,20.1709214634031,114.656,114.474
KE110,D2,AUCinf_reliable,500,87.8,0.949301854844229,0.0580024443766593,0.0610010877038273,18.510945661117,21.0705873744301,100.486,100.18
KE110,D2,AUCinf_true,500,88.4,0.949322869117942,0.0554053715437989,0.0582837135277257,18.1319381877652,20.9119609222799,117,117
S00,B0,Cmax,500,98.4,0.998110367561573,0.052222884999383,0.0521151784370506,17.0288039727797,19.6007827985074,116.998,117
S00,B0,AUClast,500,95.6,1.00081888645949,0.0606025859768829,0.0604691291020977,20.0358181209675,23.0702624857306,116.998,117
S00,B0,AUCinf_all,500,97.6,0.999345735551848,0.0575804328422626,0.0575508956725288,18.9003479321797,21.3712168709698,114.522,114.596
S00,B0,AUCinf_reliable,500,95.8,1.00059924745427,0.0607844258706824,0.0607053145480306,19.7003586632852,22.4700722503793,99.484,99.252
S00,B0,AUCinf_true,500,97,1.00004917560332,0.0583100453921189,0.0582312947091411,19.08645408686,22.0608415196477,117,117
S00,D2,Cmax,500,98.4,0.998103232149489,0.0522212968957408,0.0521135331036257,17.0286822504872,19.6007827985074,116.998,117
S00,D2,AUClast,500,95.6,1.00081335911297,0.0607600076603763,0.0606236968788784,20.0888200900006,23.2183227989277,116.998,117
S00,D2,AUCinf_all,500,97.6,0.999111111345697,0.0571808465040237,0.0572022290873861,18.8108753410534,21.2519737852554,114.656,114.73
S00,D2,AUCinf_reliable,500,97,0.999020877961809,0.0599558671852028,0.0599676671589556,19.4407001121668,21.9890978234947,100.486,100.206
S00,D2,AUCinf_true,500,97,1.00004917560332,0.0583100453921189,0.0582312947091411,19.08645408686,22.0608415196477,117,117
