pk_model,scenario,config,M0,M1,M2,changed_M1,changed_M2
k2016,ke_up_080,F3A,conservative,conservative,conservative,FALSE,FALSE
k2016,ke_up_080,F3B,conservative,conservative,conservative,FALSE,FALSE
k2016,ke_up_080,F3C,conservative,conservative,conservative,FALSE,FALSE
k2016,ke_up_080,G2_Ai,nominal,nominal,nominal,FALSE,FALSE
k2016,ke_up_080,G2_Aii,exceeding,exceeding,exceeding,FALSE,FALSE
k2016,ke_up_080,G2_B,nominal,nominal,nominal,FALSE,FALSE
k2016,ke_up_080,G2_Ci,conservative,conservative,conservative,FALSE,FALSE
k2016,ke_up_080,G2_Cii,conservative,conservative,conservative,FALSE,FALSE
k2016,ke_up_080,P2,conservative,conservative,conservative,FALSE,FALSE
k2020,F_down_080,AUCinf_true_only,nominal,nominal,nominal,FALSE,FALSE
k2020,F_down_080,AUClast_only,conservative,conservative,conservative,FALSE,FALSE
k2020,F_down_080,F3A,conservative,conservative,conservative,FALSE,FALSE
k2020,F_down_080,F3B,conservative,conservative,conservative,FALSE,FALSE
k2020,F_down_080,F3C,conservative,conservative,conservative,FALSE,FALSE
k2020,F_down_080,G2_Ai,exceeding,exceeding,exceeding,FALSE,FALSE
k2020,F_down_080,G2_Aii,exceeding,exceeding,exceeding,FALSE,FALSE
k2020,F_down_080,G2_B,exceeding,exceeding,exceeding,FALSE,FALSE
k2020,F_down_080,G2_Ci,conservative,nominal,nominal,TRUE,TRUE
k2020,F_down_080,G2_Cii,conservative,conservative,conservative,FALSE,FALSE
k2020,F_down_080,P2,conservative,conservative,conservative,FALSE,FALSE
k2020,F_up_125,AUCinf_true_only,conservative,nominal,nominal,TRUE,TRUE
k2020,F_up_125,AUClast_only,conservative,conservative,conservative,FALSE,FALSE
k2020,F_up_125,F3A,conservative,conservative,conservative,FALSE,FALSE
k2020,F_up_125,F3B,conservative,conservative,conservative,FALSE,FALSE
k2020,F_up_125,F3C,conservative,conservative,conservative,FALSE,FALSE
k2020,F_up_125,G2_Ai,exceeding,exceeding,exceeding,FALSE,FALSE
k2020,F_up_125,G2_Aii,exceeding,exceeding,exceeding,FALSE,FALSE
k2020,F_up_125,G2_B,nominal,exceeding,exceeding,TRUE,TRUE
k2020,F_up_125,G2_Ci,conservative,nominal,conservative,TRUE,FALSE
k2020,F_up_125,G2_Cii,conservative,conservative,conservative,FALSE,FALSE
k2020,F_up_125,P2,conservative,conservative,conservative,FALSE,FALSE
k2020,V2_up_080,AUCinf_true_only,conservative,nominal,nominal,TRUE,TRUE
k2020,V2_up_080,AUClast_only,nominal,exceeding,exceeding,TRUE,TRUE
k2020,V2_up_080,F3A,conservative,conservative,conservative,FALSE,FALSE
k2020,V2_up_080,F3B,conservative,conservative,conservative,FALSE,FALSE
k2020,V2_up_080,F3C,nominal,nominal,nominal,FALSE,FALSE
k2020,V2_up_080,G2_Ai,conservative,conservative,conservative,FALSE,FALSE
k2020,V2_up_080,G2_Aii,conservative,conservative,conservative,FALSE,FALSE
k2020,V2_up_080,G2_B,conservative,conservative,conservative,FALSE,FALSE
k2020,V2_up_080,G2_Ci,conservative,nominal,nominal,TRUE,TRUE
k2020,V2_up_080,G2_Cii,nominal,exceeding,exceeding,TRUE,TRUE
k2020,V2_up_080,P2,nominal,exceeding,exceeding,TRUE,TRUE
k2020,Vmax_down_125,AUCinf_true_only,conservative,nominal,conservative,TRUE,FALSE
k2020,Vmax_down_125,AUClast_only,conservative,conservative,conservative,FALSE,FALSE
k2020,Vmax_down_125,F3A,conservative,conservative,conservative,FALSE,FALSE
k2020,Vmax_down_125,F3B,conservative,conservative,conservative,FALSE,FALSE
k2020,Vmax_down_125,F3C,conservative,conservative,conservative,FALSE,FALSE
k2020,Vmax_down_125,G2_Ai,exceeding,exceeding,exceeding,FALSE,FALSE
k2020,Vmax_down_125,G2_Aii,exceeding,exceeding,exceeding,FALSE,FALSE
k2020,Vmax_down_125,G2_B,exceeding,exceeding,exceeding,FALSE,FALSE
k2020,Vmax_down_125,G2_Ci,conservative,conservative,conservative,FALSE,FALSE
k2020,Vmax_down_125,G2_Cii,conservative,conservative,conservative,FALSE,FALSE
k2020,Vmax_down_125,P2,conservative,conservative,conservative,FALSE,FALSE
k2020,Vmax_up_080,AUCinf_true_only,nominal,nominal,nominal,FALSE,FALSE
k2020,Vmax_up_080,AUClast_only,conservative,conservative,conservative,FALSE,FALSE
k2020,Vmax_up_080,F3A,conservative,conservative,conservative,FALSE,FALSE
k2020,Vmax_up_080,F3B,conservative,conservative,conservative,FALSE,FALSE
k2020,Vmax_up_080,F3C,conservative,conservative,conservative,FALSE,FALSE
k2020,Vmax_up_080,G2_Ai,exceeding,exceeding,exceeding,FALSE,FALSE
k2020,Vmax_up_080,G2_Aii,exceeding,exceeding,exceeding,FALSE,FALSE
k2020,Vmax_up_080,G2_B,exceeding,exceeding,exceeding,FALSE,FALSE
k2020,Vmax_up_080,G2_Ci,conservative,nominal,nominal,TRUE,TRUE
k2020,Vmax_up_080,G2_Cii,conservative,conservative,conservative,FALSE,FALSE
k2020,Vmax_up_080,P2,conservative,conservative,conservative,FALSE,FALSE
k2020,ka_down_080,AUCinf_true_only,exceeding,exceeding,exceeding,FALSE,FALSE
k2020,ka_down_080,AUClast_only,nominal,exceeding,exceeding,TRUE,TRUE
k2020,ka_down_080,F3A,conservative,conservative,conservative,FALSE,FALSE
k2020,ka_down_080,F3B,conservative,conservative,conservative,FALSE,FALSE
k2020,ka_down_080,F3C,conservative,conservative,conservative,FALSE,FALSE
k2020,ka_down_080,G2_Ai,conservative,conservative,conservative,FALSE,FALSE
k2020,ka_down_080,G2_Aii,conservative,conservative,conservative,FALSE,FALSE
k2020,ka_down_080,G2_B,conservative,conservative,conservative,FALSE,FALSE
k2020,ka_down_080,G2_Ci,conservative,conservative,conservative,FALSE,FALSE
k2020,ka_down_080,G2_Cii,conservative,conservative,conservative,FALSE,FALSE
k2020,ka_down_080,P2,conservative,conservative,conservative,FALSE,FALSE
k2020,ke_down_125,AUCinf_true_only,conservative,nominal,nominal,TRUE,TRUE
k2020,ke_down_125,AUClast_only,conservative,conservative,conservative,FALSE,FALSE
k2020,ke_down_125,F3A,conservative,conservative,conservative,FALSE,FALSE
k2020,ke_down_125,F3B,conservative,conservative,conservative,FALSE,FALSE
k2020,ke_down_125,F3C,conservative,conservative,conservative,FALSE,FALSE
k2020,ke_down_125,G2_Ai,conservative,nominal,nominal,TRUE,TRUE
k2020,ke_down_125,G2_Aii,exceeding,exceeding,exceeding,FALSE,FALSE
k2020,ke_down_125,G2_B,conservative,conservative,conservative,FALSE,FALSE
k2020,ke_down_125,G2_Ci,conservative,conservative,conservative,FALSE,FALSE
k2020,ke_down_125,G2_Cii,conservative,nominal,conservative,TRUE,FALSE
k2020,ke_down_125,P2,conservative,conservative,conservative,FALSE,FALSE
k2020,ke_up_080,AUCinf_true_only,nominal,nominal,nominal,FALSE,FALSE
k2020,ke_up_080,AUClast_only,conservative,conservative,conservative,FALSE,FALSE
k2020,ke_up_080,F3A,conservative,conservative,conservative,FALSE,FALSE
k2020,ke_up_080,F3B,conservative,conservative,conservative,FALSE,FALSE
k2020,ke_up_080,F3C,conservative,conservative,conservative,FALSE,FALSE
k2020,ke_up_080,G2_Ai,conservative,nominal,nominal,TRUE,TRUE
k2020,ke_up_080,G2_Aii,exceeding,exceeding,exceeding,FALSE,FALSE
k2020,ke_up_080,G2_B,nominal,nominal,nominal,FALSE,FALSE
k2020,ke_up_080,G2_Ci,conservative,nominal,nominal,TRUE,TRUE
k2020,ke_up_080,G2_Cii,conservative,conservative,conservative,FALSE,FALSE
k2020,ke_up_080,P2,conservative,conservative,conservative,FALSE,FALSE
